inep_id;ano;dependencia_id;localizacao_id;serie_id;matriculas;aprovados;reprovados;abandonos;TIPO
35917084;2010;2;1;2;40;100;0;0;AF
35917084;2010;2;1;3;48;97.9;2.1;0;AF
35917084;2010;2;1;4;38;97.3;2.7;0;AF
35917084;2010;2;1;5;47;95.8;4.2;0;AF
35917084;2010;2;1;6;0;0;0;0;AF
35917084;2010;2;1;7;0;0;0;0;AF
35917084;2010;2;1;8;0;0;0;0;AF
35917084;2010;2;1;9;0;0;0;0;AF
35917084;2010;2;1;10;0;0;0;0;AF
35917084;2010;2;1;11;0;0;0;0;AF
35917084;2010;2;1;12;0;0;0;0;AF
35918672;2010;2;1;1;0;0;0;0;AF
35918672;2010;2;1;2;0;0;0;0;AF
35918672;2010;2;1;3;33;100;0;0;AF
35918672;2010;2;1;4;25;100;0;0;AF
35918672;2010;2;1;5;27;100;0;0;AF
35918672;2010;2;1;6;34;100;0;0;AF
35918672;2010;2;1;7;25;100;0;0;AF
35918672;2010;2;1;8;0;0;0;0;AF
35918672;2010;2;1;9;0;0;0;0;AF
35918672;2010;2;1;10;0;0;0;0;AF
35918672;2010;2;1;11;0;0;0;0;AF
35918672;2010;2;1;12;0;0;0;0;AF
35918817;2010;2;1;1;0;0;0;0;AF
35918817;2010;2;1;2;12;100;0;0;AF
35918817;2010;2;1;3;18;100;0;0;AF
35918817;2010;2;1;4;15;100;0;0;AF
35918817;2010;2;1;5;28;100;0;0;AF
35918817;2010;2;1;6;31;100;0;0;AF
35918817;2010;2;1;7;29;100;0;0;AF
35918817;2010;2;1;8;23;100;0;0;AF
35918817;2010;2;1;9;31;100;0;0;AF
35918817;2010;2;1;10;0;0;0;0;AF
35918817;2010;2;1;11;0;0;0;0;AF
35918817;2010;2;1;12;0;0;0;0;AF
35918830;2010;2;1;1;0;0;0;0;AF
35918830;2010;2;1;2;26;100;0;0;AF
35918830;2010;2;1;3;35;100;0;0;AF
35918830;2010;2;1;4;34;100;0;0;AF
35918830;2010;2;1;5;32;100;0;0;AF
35918830;2010;2;1;6;0;0;0;0;AF
35918830;2010;2;1;7;0;0;0;0;AF
35918830;2010;2;1;8;0;0;0;0;AF
35918830;2010;2;1;9;0;0;0;0;AF
35918830;2010;2;1;10;0;0;0;0;AF
35918830;2010;2;1;11;0;0;0;0;AF
35918830;2010;2;1;12;0;0;0;0;AF
35919007;2010;2;1;1;25;100;0;0;AF
35919007;2010;2;1;2;75;100;0;0;AF
35919007;2010;2;1;3;62;100;0;0;AF
35919007;2010;2;1;4;83;100;0;0;AF
35919007;2010;2;1;5;83;98.8;1.2;0;AF
35919007;2010;2;1;6;0;0;0;0;AF
35919007;2010;2;1;7;0;0;0;0;AF
35919007;2010;2;1;8;0;0;0;0;AF
35919007;2010;2;1;9;0;0;0;0;AF
35919007;2010;2;1;10;0;0;0;0;AF
35919007;2010;2;1;11;0;0;0;0;AF
35919007;2010;2;1;12;0;0;0;0;AF
35920058;2010;2;1;1;0;0;0;0;AF
35920058;2010;2;1;2;26;100;0;0;AF
35920058;2010;2;1;3;19;100;0;0;AF
35920058;2010;2;1;4;23;100;0;0;AF
35920058;2010;2;1;5;34;100;0;0;AF
35920058;2010;2;1;6;0;0;0;0;AF
35920058;2010;2;1;7;0;0;0;0;AF
35920058;2010;2;1;8;0;0;0;0;AF
35920058;2010;2;1;9;0;0;0;0;AF
35920058;2010;2;1;10;0;0;0;0;AF
35920058;2010;2;1;11;0;0;0;0;AF
35920058;2010;2;1;12;0;0;0;0;AF
35010273;2010;2;1;1;0;0;0;0;AI
35010273;2010;2;1;2;0;0;0;0;AI
35010273;2010;2;1;3;0;0;0;0;AI
35010273;2010;2;1;4;0;0;0;0;AI
35010273;2010;2;1;5;0;0;0;0;AI
35010273;2010;2;1;6;153;98;2;0;AI
35010273;2010;2;1;7;159;96.8;3.2;0;AI
35010273;2010;2;1;8;138;95.6;4.4;0;AI
35010273;2010;2;1;9;176;80.4;19.6;0;AI
35010273;2010;2;1;10;154;83.8;16.2;0;AI
35010273;2010;2;1;11;132;83.2;16.8;0;AI
35010273;2010;2;1;12;150;86.3;13.7;0;AI
35010285;2010;2;1;1;0;0;0;0;AI
35010285;2010;2;1;2;0;0;0;0;AI
35010285;2010;2;1;3;0;0;0;0;AI
35010285;2010;2;1;4;0;0;0;0;AI
35010285;2010;2;1;5;0;0;0;0;AI
35010285;2010;2;1;6;0;0;0;0;AI
35010285;2010;2;1;7;161;95.1;3.7;1.2;AI
35010285;2010;2;1;8;172;97.7;1.7;0.6;AI
35010285;2010;2;1;9;186;93.4;3.3;3.3;AI
35010285;2010;2;1;10;183;85.2;7.7;7.1;AI
35010285;2010;2;1;11;215;86;7.2;6.8;AI
35010285;2010;2;1;12;258;91;3.1;5.9;AI
35035403;2010;2;1;1;0;0;0;0;AI
35035403;2010;2;1;2;0;0;0;0;AI
35035403;2010;2;1;3;0;0;0;0;AI
35035403;2010;2;1;4;0;0;0;0;AI
35035403;2010;2;1;5;0;0;0;0;AI
35035403;2010;2;1;6;210;95.3;4.7;0;AI
35035403;2010;2;1;7;112;87.7;12.3;0;AI
35035403;2010;2;1;8;127;95.3;4.7;0;AI
35035403;2010;2;1;9;118;93;7;0;AI
35035403;2010;2;1;10;297;78.8;20.8;0.4;AI
35035403;2010;2;1;11;274;88.7;11.3;0;AI
35035403;2010;2;1;12;166;94.4;5.6;0;AI
35040708;2010;2;1;1;0;0;0;0;AI
35040708;2010;2;1;2;0;0;0;0;AI
35040708;2010;2;1;3;0;0;0;0;AI
35040708;2010;2;1;4;0;0;0;0;AI
35040708;2010;2;1;5;0;0;0;0;AI
35040708;2010;2;1;6;108;100;0;0;AI
35040708;2010;2;1;7;121;100;0;0;AI
35040708;2010;2;1;8;80;98.7;1.3;0;AI
35040708;2010;2;1;9;80;98.7;1.3;0;AI
35040708;2010;2;1;10;78;93.7;6.3;0;AI
35040708;2010;2;1;11;67;100;0;0;AI
35040708;2010;2;1;12;63;100;0;0;AI
35044878;2010;2;1;1;20;100;0;0;AI
35044878;2010;2;1;2;27;100;0;0;AI
35044878;2010;2;1;3;33;100;0;0;AI
35044878;2010;2;1;4;35;100;0;0;AI
35044878;2010;2;1;5;47;95.7;4.3;0;AI
35044878;2010;2;1;6;89;98.9;1.1;0;AI
35044878;2010;2;1;7;70;100;0;0;AI
35044878;2010;2;1;8;66;98.5;1.5;0;AI
35044878;2010;2;1;9;78;98.6;1.4;0;AI
35044878;2010;2;1;10;61;93.1;6.9;0;AI
